"week","afg_2010_germany","afg_2010_world","afg_2021_germany","afg_2021_world","irak_2020_germany","irak_2020_world","ukr_2014_germany","ukr_2014_world","ukr_2022_germany","ukr_2022_world"
1,45,69,2,3,13,8,5,4,0,1
2,45,74,3,3,11,7,5,4,1,1
3,43,87,3,4,16,8,15,14,2,1
4,41,79,3,4,15,7,14,14,3,3
5,40,68,3,4,9,5,9,8,2,6
6,38,63,3,4,7,5,6,6,4,4
7,47,61,3,4,7,5,34,37,11,6
8,64,67,10,10,46,40,46,45,77,15
9,100,100,100,100,100,100,100,100,100,100
10,68,82,37,36,20,14,37,33,54,99
11,48,79,17,22,11,9,37,33,38,47
12,48,75,8,11,10,8,26,22,29,33
13,38,77,6,7,9,6,17,15,21,24
14,42,68,4,5,9,7,21,17,20,17
15,34,68,4,4,9,7,37,28,19,16
16,51,73,3,4,9,7,33,22,19,14
17,40,80,4,4,10,7,34,23,17,14
