year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1960,Germany,,,3.77,2715197279.73,1952.59,,,,
1960,France,,62225478000.88,5.43,3260127992.21,1699.25,,62588196442.49,,
1960,Italy,,40385288344.19,2.71,1009308856.43,794.82,,40495892097.07,,
1960,Japan,,44307342950.40,1.08,480555555.56,867.20,,44096113140.62,,
1960,Canada,,40461721692.65,4.19,1702442711.41,4251.44,,,,
1960,Russian Federation,,,,,,,,,
1960,United States,,543300000000.00,8.99,47346552670.21,5641.74,,546400000000.00,,
1960,United Kingdom,,73233967692.10,7.09,5129857089.89,3033.05,,,,
1960,Brazil,,17030465539.39,2.68,382729752.05,,,,,
1960,India,,37029883875.46,2.00,681765681.77,,,36878683724.26,,
1960,Mexico,,13040000000.00,0.67,84000000.00,,,12666168000.00,,
1960,South Africa,,7575396973.02,0.95,69999972.00,,,7244997105.04,,
1960,China,,59716467625.31,,,,,59716467625.31,,
1960,World,,1390297773982.95,6.34,,,,1371147204316.22,,
1961,Germany,,,3.74,3074753151.24,1994.32,,,,
1961,France,4.98,67461644222.04,5.30,3469940419.47,1745.20,,67823034024.66,,
1961,Italy,8.21,44842760293.19,2.57,1062907313.20,890.69,,44941821181.68,,
1961,Japan,12.04,53508617739.38,0.92,492361111.11,972.00,,53216886419.91,,
1961,Canada,3.16,40934952063.95,4.13,1677820881.08,4307.82,,,,
1961,Russian Federation,,,,,,,,,
1961,United States,2.30,563300000000.00,9.16,49879770605.06,5612.08,,566800000000.00,,
1961,United Kingdom,2.68,77741965703.35,6.92,5308314126.28,3006.75,,,,
1961,Brazil,8.60,17275940449.38,2.36,342339720.82,,,,,
1961,India,3.72,39232435784.09,2.07,748388248.39,,3.61,39026635578.29,,
1961,Mexico,5.00,14160000000.00,0.65,86400000.00,,5.13,13775344000.00,,
1961,South Africa,3.84,7972996814.15,1.47,113749954.50,,3.56,7600596962.95,,
1961,China,-27.27,50056868957.67,,,,,50056868957.67,,
1961,World,3.80,1446418444335.74,6.31,,,,1435668564136.25,,
1962,Germany,,,4.50,4055355090.26,2124.85,,,,
1962,France,6.84,75607529809.93,5.16,3774280041.37,1861.04,,76152271791.83,,
1962,Italy,6.20,50383891898.99,2.63,1222013656.11,1007.05,,50471132481.63,,
1962,Japan,8.91,60723018683.73,0.88,538194444.44,1013.26,,60366887321.60,,
1962,Canada,7.43,42227447631.92,4.00,1671313753.19,4451.56,,,,
1962,Russian Federation,,,,,,,,,
1962,United States,6.10,605100000000.00,9.33,54650942605.08,5774.59,,609200000000.00,,
1962,United Kingdom,1.10,81247564156.82,6.94,5597132750.96,3087.34,,,,
1962,Brazil,6.60,19231747851.53,2.40,387449035.55,,,,,
1962,India,2.93,42161481858.70,2.75,1065436065.44,,2.92,41934681631.90,,
1962,Mexico,4.66,15200000000.00,0.69,99200000.00,,4.83,14814304000.00,,
1962,South Africa,6.18,8497996604.37,2.25,186199925.52,,6.96,8174596733.59,,
1962,China,-5.58,47209359005.61,,,,,47209359005.61,,
1962,World,5.32,1548223014126.97,6.35,,,,1539930971393.71,,
1963,Germany,,,4.90,4688620297.63,2281.29,,,,
1963,France,6.23,84759195105.87,4.74,3887455989.50,1983.47,,85419528679.05,,
1963,Italy,5.61,57710743059.83,2.75,1463283723.58,1119.72,,57801822228.11,,
1963,Japan,8.47,69498131797.33,0.90,629861111.11,1147.29,,69060415396.98,,
1963,Canada,5.35,45029988561.21,3.62,1610091700.59,4694.12,,,,
1963,Russian Federation,,,,,,,,,
1963,United States,4.40,638600000000.00,8.83,54561215775.42,5986.78,,643100000000.00,,
1963,United Kingdom,4.87,86561961812.32,6.80,5810811570.85,3196.83,,,,
1963,Brazil,0.60,23287712878.20,2.26,441999606.22,,,,,
1963,India,5.99,48421923458.74,4.03,1795449295.45,,6.04,48186723223.54,,
1963,Mexico,8.11,16960000000.00,0.72,112000000.00,,8.07,16530280000.00,,
1963,South Africa,7.37,9423396234.60,2.06,188999924.40,,7.71,9099996363.82,,
1963,China,10.30,50706799902.51,,,,,50706799902.51,,
1963,World,5.19,1669094093589.47,6.01,,,,1654580423178.29,,
1964,Germany,,,4.38,4601309875.48,2341.15,,,,
1964,France,6.65,94007851047.37,4.54,4130961167.72,2085.16,,94702729234.04,,
1964,Italy,2.80,63175417019.01,2.73,1586666707.97,1221.73,,63310021307.06,,
1964,Japan,11.68,81749006381.51,0.88,718055555.56,1272.48,,81163510670.22,,
1964,Canada,6.64,49377522896.70,3.40,1657457282.98,4903.61,,,,
1964,Russian Federation,,,,,,,,,
1964,United States,5.80,685800000000.00,8.05,53432327058.17,6136.94,,690700000000.00,,
1964,United Kingdom,5.53,94407558351.16,6.60,6159898580.63,3212.53,,,,
1964,Brazil,3.40,20963733694.97,2.01,354227857.07,,,,,
1964,India,7.45,56480289940.83,3.82,1986654486.65,,7.40,56175789636.33,,
