year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_usd,gni_growth
1960,Germany,,,3.77,2715197280.00,1952.59,,
1960,France,,62225478001,5.43,3260127992.00,1699.25,62588196442,
1960,Italy,,40385288344,2.71,1009308856.00,794.82,40495892097,
1960,Japan,,44307342950,1.08,480555555.60,867.20,44096113141,
1960,Canada,,40461721693,4.19,1702442711.00,4251.44,,
1960,Russian Federation,,,,,,,
1960,United States,,543300000000,8.99,47346552670.00,5641.74,546400000000,
1960,United Kingdom,,73233967692,7.09,5129857090.00,3033.05,,
1960,Brazil,,17030465539,2.68,382729752.10,,,
1960,India,,37029883875,2.00,681765681.80,,36878683724,
1960,Mexico,,13040000000,0.67,84000000.00,,12666168000,
1960,South Africa,,7575396973,0.95,69999972.00,,7244997105,
1960,China,,59716467625,,,,59716467625,
1960,World,,1390300000000,6.34,,,1371150000000,
1961,Germany,,,3.74,3074753151.00,1994.32,,
1961,France,4.98,67461644222,5.30,3469940419.00,1745.20,67823034025,
1961,Italy,8.21,44842760293,2.57,1062907313.00,890.69,44941821182,
1961,Japan,12.04,53508617739,0.92,492361111.10,972.00,53216886420,
1961,Canada,3.16,40934952064,4.13,1677820881.00,4307.82,,
1961,Russian Federation,,,,,,,
1961,United States,2.30,563300000000,9.16,49879770605.00,5612.08,566800000000,
1961,United Kingdom,2.68,77741965703,6.92,5308314126.00,3006.75,,
1961,Brazil,8.60,17275940449,2.36,342339720.80,,,
1961,India,3.72,39232435784,2.07,748388248.40,,39026635578,3.61
1961,Mexico,5.00,14160000000,0.65,86400000.00,,13775344000,5.13
1961,South Africa,3.84,7972996814,1.47,113749954.50,,7600596963,3.56
1961,China,-27.27,50056868958,,,,50056868958,
1961,World,3.80,1446420000000,6.31,,,1435670000000,
1962,Germany,,,4.50,4055355090.00,2124.85,,
1962,France,6.84,75607529810,5.16,3774280041.00,1861.04,76152271792,
1962,Italy,6.20,50383891899,2.63,1222013656.00,1007.05,50471132482,
1962,Japan,8.91,60723018684,0.88,538194444.40,1013.26,60366887322,
1962,Canada,7.43,42227447632,4.00,1671313753.00,4451.56,,
1962,Russian Federation,,,,,,,
1962,United States,6.10,605100000000,9.33,54650942605.00,5774.59,609200000000,
1962,United Kingdom,1.10,81247564157,6.94,5597132751.00,3087.34,,
1962,Brazil,6.60,19231747852,2.40,387449035.50,,,
1962,India,2.93,42161481859,2.75,1065436065.00,,41934681632,2.92
1962,Mexico,4.66,15200000000,0.69,99200000.00,,14814304000,4.83
1962,South Africa,6.18,8497996604,2.25,186199925.50,,8174596734,6.96
1962,China,-5.58,47209359006,,,,47209359006,
1962,World,5.32,1548220000000,6.35,,,1539930000000,
1963,Germany,,,4.90,4688620298.00,2281.29,,
1963,France,6.23,84759195106,4.74,3887455990.00,1983.47,85419528679,
1963,Italy,5.61,57710743060,2.75,1463283724.00,1119.72,57801822228,
1963,Japan,8.47,69498131797,0.90,629861111.10,1147.29,69060415397,
1963,Canada,5.35,45029988561,3.62,1610091701.00,4694.12,,
1963,Russian Federation,,,,,,,
1963,United States,4.40,638600000000,8.83,54561215775.00,5986.78,643100000000,
1963,United Kingdom,4.87,86561961812,6.80,5810811571.00,3196.83,,
1963,Brazil,0.60,23287712878,2.26,441999606.20,,,
1963,India,5.99,48421923459,4.03,1795449295.00,,48186723224,6.04
1963,Mexico,8.11,16960000000,0.72,112000000.00,,16530280000,8.07
1963,South Africa,7.37,9423396235,2.06,188999924.40,,9099996364,7.71
1963,China,10.30,50706799903,,,,50706799903,
1963,World,5.19,1669090000000,6.01,,,1654580000000,
1964,Germany,,,4.38,4601309875.00,2341.15,,
1964,France,6.65,94007851047,4.54,4130961168.00,2085.16,94702729234,
1964,Italy,2.80,63175417019,2.73,1586666708.00,1221.73,63310021307,
1964,Japan,11.68,81749006382,0.88,718055555.60,1272.48,81163510670,
1964,Canada,6.64,49377522897,3.40,1657457283.00,4903.61,,
1964,Russian Federation,,,,,,,
1964,United States,5.80,685800000000,8.05,53432327058.00,6136.94,690700000000,
1964,United Kingdom,5.53,94407558351,6.60,6159898581.00,3212.53,,
1964,Brazil,3.40,20963733695,2.01,354227857.10,,,
1964,India,7.45,56480289941,3.82,1986654487.00,,56175789636,7.40
1964,Mexico,11.91,20080000000,0.68,120000000.00,,19477944000,11.45
1964,South Africa,7.94,10373995855,2.70,271599891.40,,9998796005,7.81
1964,China,18.18,59708343489,,,,59708343489,
1964,World,6.57,1827510000000,5.52,,,1823670000000,
1965,Germany,,,4.09,4686319021.00,2378.34,,
1965,France,4.86,101537000000,4.40,4304458189.00,2109.85,102253000000,
1965,Italy,3.27,67978153851,2.75,1719942315.00,1316.46,68239418775,
1965,Japan,5.82,90950278258,0.90,821388888.90,1374.53,90333954412,
1965,Canada,6.32,54515179581,2.93,1574704540.00,5153.93,,
1965,Russian Federation,,,,,,,
1965,United States,6.40,743700000000,7.59,54561791263.00,6307.89,749000000000,
1965,United Kingdom,2.14,101825000000,6.44,6475329220.00,3329.41,,
1965,Brazil,2.40,22465522884,3.35,632869026.50,,,
1965,India,-2.64,59554854575,3.87,2125989626.00,,59210461463,-2.69
1965,Mexico,7.10,21840000000,0.59,119200000.00,,21234640000,6.53
1965,South Africa,6.12,11334395471,2.63,289449884.20,,10918595637,6.11
1965,China,16.95,70436266147,,,,70436266147,
1965,World,5.56,1990870000000,5.31,,,1990170000000,
1966,Germany,,,3.91,4766403436.00,2387.68,,
1966,France,5.25,110046000000,4.29,4548130770.00,2122.92,110738000000,
1966,Italy,5.98,73654870011,2.99,1904604599.00,1431.07,74005443913,
1966,Japan,10.64,105628000000,0.88,932430555.60,1491.03,104943000000,
1966,Canada,6.70,61088384037,2.68,1614422827.00,5272.66,,
1966,Russian Federation,,,,,,,
1966,United States,6.50,815000000000,8.44,66442751527.00,6591.34,820100000000,
1966,United Kingdom,1.57,108573000000,6.25,6692138865.00,3306.78,,
1966,Brazil,6.70,28283323733,3.02,718216574.60,,25823978010,
1966,India,-0.06,45865462034,3.57,1661154906.00,,45536890605,-0.19
1966,Mexico,6.10,24320000000,0.58,130400000.00,,23566704000,5.69
1966,South Africa,4.44,12354995063,2.70,324449870.20,,11920995237,4.55
1966,China,10.65,76720285970,,,,76720285970,
1966,World,5.72,2160630000000,5.66,,,2152900000000,
1967,Germany,,,4.08,5037954037.00,2388.41,,
1967,France,4.92,118973000000,4.30,4918985396.00,2248.08,119729000000,
1967,Italy,7.18,81133120065,2.77,1928786564.00,1551.52,81443074752,
1967,Japan,11.08,123782000000,0.84,1039027778.00,1735.12,123005000000,
1967,Canada,3.09,65668655501,2.75,1775500366.00,5557.29,,
1967,Russian Federation,,,,,,,
1967,United States,2.50,861700000000,9.42,78398442241.00,6809.82,867100000000,
1967,United Kingdom,2.79,113117000000,6.24,6933197077.00,3345.55,,
1967,Brazil,4.20,31086389195,2.86,746139163.60,,29559163248,
1967,India,7.83,50134942203,3.22,1487733333.00,,49790942203,7.88
1967,Mexico,5.85,26560000000,0.55,133600000.00,,26201208000,7.96
1967,South Africa,7.20,13777394495,2.79,373099850.80,,13327994674,7.43
1967,China,-5.77,72881631327,,,,72881631327,
1967,World,4.16,2298980000000,6.11,,,2294160000000,
1968,Germany,,,3.41,4544109352.00,2561.52,,
1968,France,4.49,129785000000,4.14,5148997849.00,2359.88,130425000000,
1968,Italy,6.54,87942231678,2.65,1991165044.00,1698.43,88326648582,
1968,Japan,12.88,146601000000,0.79,1168194444.00,1939.42,145604000000,
1968,Canada,5.00,71829810520,2.54,1797265817.00,5871.52,,
1968,Russian Federation,,,,,,,
1968,United States,4.80,942500000000,9.27,84329031218.00,7073.48,948600000000,
1968,United Kingdom,5.44,107760000000,5.94,6220499923.00,3406.14,,
1968,Brazil,9.80,33930457425,2.65,755307566.70,,33065704448,
1968,India,3.39,53085455871,3.25,1586866667.00,,52745455871,3.41
1968,Mexico,9.42,29360000000,0.55,148800000.00,,28939512000,9.33
1968,South Africa,4.15,14894594048,2.76,399699840.10,,14377994255,3.95
1968,China,-4.10,70846535056,,,,70846535056,
1968,World,5.95,2481350000000,6.00,,,2496040000000,
1969,Germany,,,3.40,5150518691.00,2772.01,,
1969,France,7.11,141903000000,3.68,4964005294.00,2536.67,142382000000,
1969,Italy,6.10,97085082807,2.42,2003805617.00,1832.50,97575749223,
1969,Japan,12.48,172204000000,0.77,1335416667.00,2214.06,171076000000,
1969,Canada,5.05,79148411662,2.27,1770108751.00,6091.10,,
1969,Russian Federation,,,,,,,
1969,United States,3.10,1019900000000,8.63,84990165431.00,7332.37,1026000000000,
1969,United Kingdom,1.92,116465000000,5.50,6199702307.00,3557.13,,
1969,Brazil,9.50,37171640819,2.62,816622811.00,,36783720976,
1969,India,6.54,58447995017,3.14,1691433333.00,,58086661684,6.57
1969,Mexico,3.42,32480000000,0.60,180000000.00,,31985424000,3.32
1969,South Africa,4.72,16780393295,2.61,425599829.80,,16181193534,4.57
1969,China,16.94,79705906247,,,,79705906247,
1969,World,5.83,2736900000000,5.58,,,2755430000000,
1970,Germany,,215838000000,3.01,5805254072.00,3860.86,216937000000,
1970,France,6.11,148456000000,3.46,4941059320.00,2951.48,149053000000,
1970,Italy,5.27,113395000000,2.06,2216771793.00,2026.22,114365000000,
1970,Japan,2.51,212609000000,0.77,1575347222.00,2480.75,212376000000,
1970,Canada,,87896095320,2.19,1889157918.00,6476.39,86905583309,
1970,Russian Federation,,,,,,,
1970,United States,-0.35,1073300000000,8.03,83407993005.00,7569.08,1074360000000,
1970,United Kingdom,6.32,130672000000,5.20,6792098924.00,3684.95,141663000000,
1970,Brazil,10.40,42327664794,2.89,1026234374.00,,41728566936,
1970,India,5.16,62422483055,3.19,1832966667.00,,62043816388,5.18
1970,Mexico,6.50,35520000000,0.50,176800000.00,,34897440000,6.28
1970,South Africa,5.25,18418392640,2.33,417899832.80,,17754792906,5.25
1970,China,19.30,92602973434,,,,92602973434,
1970,World,3.92,2992440000000,4.97,,,3004230000000,
1971,Germany,3.13,249985000000,3.06,6829977561.00,3895.26,250911000000,3.06
1971,France,5.32,165967000000,3.32,5291990761.00,3027.82,166781000000,
1971,Italy,1.82,124672000000,2.24,2648079366.00,1949.15,125758000000,1.85
1971,Japan,4.70,240152000000,0.82,1896540416.00,2531.09,240076000000,4.77
1971,Canada,,99271961775,2.13,2077659711.00,6436.23,98159003763,
1971,Russian Federation,,,,,,,
1971,United States,3.29,1164850000000,6.94,78237979893.00,7644.52,1162930000000,3.35
