Woche;afg_2010_germany
2010-01-03;35
2010-01-10;41
2010-01-17;45
2010-01-24;51
2010-01-31;42
2010-02-07;43
2010-02-14;45
2010-02-21;45
2010-02-28;43
2010-03-07;41
2010-03-14;40
2010-03-21;38
2010-03-28;47
2010-04-04;64
2010-04-11;100
2010-04-18;68
2010-04-25;48
2010-05-02;48
2010-05-09;38
2010-05-16;42
2010-05-23;34
2010-05-30;51
2010-06-06;40
2010-06-13;46
2010-06-20;37
2010-06-27;34
2010-07-04;28
2010-07-11;29
2010-07-18;38
2010-07-25;44
2010-08-01;37
2010-08-08;43
2010-08-15;35
2010-08-22;34
2010-08-29;34
2010-09-05;30
2010-09-12;32
2010-09-19;35
2010-09-26;33
2010-10-03;42
2010-10-10;35
2010-10-17;41
2010-10-24;33
2010-10-31;35
2010-11-07;32
2010-11-14;37
2010-11-21;34
2010-11-28;32
2010-12-05;33
2010-12-12;38
2010-12-19;38
2010-12-26;33
