Woche;irak_2020_germany
2019-01-13;11
2019-01-20;9
2019-01-27;9
2019-02-03;10
2019-02-10;9
2019-02-17;10
2019-02-24;10
2019-03-03;8
2019-03-10;9
2019-03-17;11
2019-03-24;9
2019-03-31;8
2019-04-07;9
2019-04-14;7
2019-04-21;8
2019-04-28;7
2019-05-05;9
2019-05-12;11
2019-05-19;10
2019-05-26;9
2019-06-02;9
2019-06-09;9
2019-06-16;11
2019-06-23;12
2019-06-30;8
2019-07-07;9
2019-07-14;8
2019-07-21;8
2019-07-28;7
2019-08-04;7
2019-08-11;8
2019-08-18;10
2019-08-25;8
2019-09-01;8
2019-09-08;9
2019-09-15;11
2019-09-22;8
2019-09-29;15
2019-10-06;15
2019-10-13;11
2019-10-20;10
2019-10-27;11
2019-11-03;11
2019-11-10;13
2019-11-17;11
2019-11-24;16
2019-12-01;15
2019-12-08;9
2019-12-15;7
2019-12-22;7
2019-12-29;46
2020-01-05;100
2020-01-12;20
2020-01-19;11
2020-01-26;10
2020-02-02;9
2020-02-09;9
2020-02-16;9
2020-02-23;9
2020-03-01;10
