Woche;irak_2020_world
2019-01-13;7
2019-01-20;6
2019-01-27;7
2019-02-03;6
2019-02-10;6
2019-02-17;6
2019-02-24;6
2019-03-03;5
2019-03-10;6
2019-03-17;7
2019-03-24;6
2019-03-31;5
2019-04-07;5
2019-04-14;5
2019-04-21;6
2019-04-28;5
2019-05-05;6
2019-05-12;7
2019-05-19;6
2019-05-26;6
2019-06-02;7
2019-06-09;6
2019-06-16;7
2019-06-23;6
2019-06-30;5
2019-07-07;6
2019-07-14;7
2019-07-21;5
2019-07-28;5
2019-08-04;5
2019-08-11;5
2019-08-18;5
2019-08-25;5
2019-09-01;5
2019-09-08;6
2019-09-15;6
2019-09-22;6
2019-09-29;9
2019-10-06;9
2019-10-13;7
2019-10-20;7
2019-10-27;7
2019-11-03;7
2019-11-10;8
2019-11-17;7
2019-11-24;8
2019-12-01;7
2019-12-08;5
2019-12-15;5
2019-12-22;5
2019-12-29;40
2020-01-05;100
2020-01-12;14
2020-01-19;9
2020-01-26;8
2020-02-02;6
2020-02-09;7
2020-02-16;7
2020-02-23;7
2020-03-01;7
