year;dispute;non_violent_crises;violent_crises;limited_wars;wars;total;gdp_ger;gdp_fra;gdp_ita;gdp_jpn;gdp_can;gdp_rus;gdp_usa;gdp_gbr;gdp_bra;gdp_ind;gdp_mex;gdp_zaf;gdp_chn;gdp_wld
2005;63;93;90;26;2;274;2846860000000;2196950000000;1858220000000;4831470000000;1173110000000;764017000000;13036600000000;2544830000000;891634000000;820382000000;877476000000;288868000000;2285970000000;47777900000000
2006;72;114;104;30;6;326;2994700000000;2320540000000;1949550000000;4601660000000;1319260000000;989931000000;13814600000000;2717060000000;1107630000000;940260000000;975387000000;303861000000;2752130000000;51778700000000
2007;79;126;107;26;6;344;3425580000000;2660590000000;2213100000000;4579750000000;1468820000000;1299710000000;14451900000000;3106180000000;1397110000000;1216740000000;1052700000000;333075000000;3550340000000;58337500000000
2008;82;130;102;30;9;353;3745260000000;2930300000000;2408660000000;5106680000000;1552990000000;1660850000000;14712800000000;2938880000000;1695860000000;1198900000000;1109990000000;316132000000;4594310000000;64071500000000
2009;107;118;110;25;8;368;3411260000000;2700890000000;2199930000000;5289490000000;1374630000000;1222640000000;14448900000000;2425800000000;1667000000000;1341890000000;900045000000;329753000000;5101700000000;60781000000000
2010;95;108;139;22;6;370;3399670000000;2645190000000;2136100000000;5759070000000;1617340000000;1524920000000;14992100000000;2491110000000;2208840000000;1675620000000;1057800000000;417365000000;6087160000000;66500500000000
2011;106;87;155;19;20;387;3749310000000;2865160000000;2294990000000;6233150000000;1793330000000;2045930000000;15542600000000;2674890000000;2616160000000;1823050000000;1180490000000;458202000000;7551500000000;73671500000000
2012;99;85;177;25;19;405;3527140000000;2683670000000;2086960000000;6272360000000;1828370000000;2208300000000;16197000000000;2719160000000;2465230000000;1827640000000;1201090000000;434401000000;8532230000000;75311600000000
2013;107;82;178;31;20;418;3733800000000;2811880000000;2141920000000;5212330000000;1846600000000;2292470000000;16784800000000;2803290000000;2472820000000;1856720000000;1274440000000;400886000000;9570410000000;77443200000000
2014;97;88;181;25;19;410;3889090000000;2855960000000;2162010000000;4896990000000;1805750000000;2059240000000;17527200000000;3087170000000;2456040000000;2039130000000;1315350000000;381199000000;10475700000000;79575500000000
2015;90;88;183;24;19;404;3357590000000;2439190000000;1836640000000;4444930000000;1556510000000;1363480000000;18238300000000;2956570000000;1802210000000;2103590000000;1171870000000;346710000000;11061600000000;75117100000000
2016;77;72;188;21;18;376;3469850000000;2472960000000;1877070000000;5003680000000;1527990000000;1276790000000;18745100000000;2722850000000;1795690000000;2294800000000;1078490000000;323586000000;11233300000000;76313200000000
2017;68;77;190;16;20;371;3690850000000;2595150000000;1961800000000;4930840000000;1649270000000;1574200000000;19543000000000;2699020000000;2063510000000;2651470000000;1158910000000;381449000000;12310400000000;81224600000000
2018;68;83;173;25;16;365;3977290000000;2790960000000;2091930000000;5036890000000;1725330000000;1657330000000;20611900000000;2900790000000;1916930000000;2701110000000;1222410000000;404842000000;13894800000000;86274300000000
2019;71;91;158;23;15;358;3888330000000;2728870000000;2009380000000;5148780000000;1742020000000;1687450000000;21433200000000;2878670000000;1877820000000;2870500000000;1269430000000;387935000000;14279900000000;87568100000000
2020;69;70;180;19;21;359;3846410000000;2630320000000;1888710000000;5057760000000;1645420000000;1483500000000;20953000000000;2759800000000;1444730000000;2660250000000;1073920000000;335442000000;14722700000000;84747000000000
