year,dispute,non_violent_crises,violent_crises,limited_wars,wars,total,gni_ger,gni_fra,gni_ita,gni_jpn,gni_can,gni_rus,gni_usa,gni_gbr,gni_bra,gni_ind,gni_mex,gni_zaf,gni_chn,gni_wld
2005,63,93,90,26,2,274,2870368808691.05,2234564034091.83,1861136280618.83,4938602699009.78,1149135996038.95,745490707990.98,13166516000000.00,2578605454545.45,866081203897.50,814482820622.22,859156840951.01,283926907458.37,2269857202067.29,47732462855480.00
2006,72,114,104,30,6,326,3045353242965.88,2366964499002.35,1957286082582.70,4724628609114.59,1298296897038.08,961127142278.70,14066382000000.00,2719260349586.02,1080641864324.04,932915277249.47,960397767726.07,298725379797.68,2746989420523.24,51904836930835.80
2007,79,126,107,26,6,344,3475319883354.91,2713440990838.05,2214810509531.73,4720092396404.35,1447200446885.76,1270877264823.62,14550103000000.00,3091150460184.07,1368114333393.29,1211640646849.16,1034991278893.14,323307670849.07,3558383398186.00,58207370180732.80
2008,82,130,102,30,9,353,3780819607074.22,2994136038927.34,2386641522088.98,5243862441285.03,1530173383317.71,1614363887626.80,14718111000000.00,2910742647058.82,1654049713216.25,1191737412305.19,1094332318930.43,307189733295.41,4622872256335.72,63689936201703.60
2009,107,118,110,25,8,368,3488175094524.22,2763004002090.23,2198543924651.95,5422436226957.12,1350956171813.49,1182904882200.60,14426269000000.00,2406924754634.68,1632013699912.19,1333877109441.30,884929436415.44,323125601579.00,5093170992168.51,60508852947631.70
2010,95,108,139,22,6,370,3467862685333.34,2706418757800.01,2131574091108.34,5912477091132.79,1585379875651.19,1477812768442.99,15172073000000.00,2492137629336.72,2138593265964.54,1657660320258.90,1045220776511.55,409233759697.86,6061091977327.45,66400832205841.00
2011,106,87,155,19,20,387,3845325104620.63,2941328117344.36,2289189703989.30,6414396892358.66,1759453773319.65,1985526208275.05,15849978000000.00,2684173032857.85,2546425811781.32,1807018710050.81,1161743714472.00,447481650755.40,7481123496788.67,73710307985343.20
2012,99,85,177,25,19,405,3611772218601.56,2742349300400.39,2084406580434.73,6445536590964.04,1795919869603.49,2140634973644.45,16675595000000.00,2691109870177.34,2401351848037.49,1806177662220.11,1177885199589.96,423516734077.15,8512412397984.89,75572257352211.10
2013,107,82,178,31,20,418,3820263805783.93,2874860245102.75,2138212004378.95,5391605623511.27,1818471075757.13,2212868846622.34,17188331000000.00,2746456576321.28,2435335749167.14,1833601556952.76,1237366326260.57,391194711860.89,9492579024339.07,77549190950752.90
2014,97,88,181,25,19,410,3967012279025.08,2917864654134.50,2162198395957.99,5079021304760.51,1776572160702.32,1991279765491.87,18043094000000.00,3023235858086.71,2406617081987.70,2015015376660.84,1283058447244.69,371745234720.22,10488982516424.10,79913055327869.40
2015,90,88,183,24,19,404,3434101056827.73,2491864986670.70,1823940556491.52,4619771168713.41,1532663548013.94,1325732263446.11,18660910000000.00,2886069892475.58,1764276838196.72,2079182325742.91,1141602672778.78,338766618711.13,11008771071682.10,75328805462099.20
2016,77,72,188,21,18,376,3555930677612.46,2525276585700.01,1882461088199.89,5177794688417.20,1509327936731.45,1241290379222.41,19020479000000.00,2654615868380.82,1754150398828.53,2247940124045.80,1049583160881.05,315294078694.39,11177576245842.40,76490086384999.30
2017,68,77,190,16,20,371,3778789183700.01,2653805221561.18,1972734900186.12,5113251596855.53,1628291572163.23,1532146087071.58,19893073000000.00,2664014258149.29,2020345060288.52,2622799774505.90,1128823076215.89,370872982190.21,12294278566269.20,81563737500002.10
2018,68,83,173,25,16,365,4105202181208.62,2855661376338.82,2115036620296.78,5230631860508.57,1695996608536.10,1616937756183.77,20946778000000.00,2860062056365.28,1858109688920.91,2673994353406.40,1189348943427.40,393553305427.73,13833788602116.10,86469165682048.80
2019,71,91,158,23,15,358,4014394171599.99,2787416524619.60,2028317539691.76,5323445358760.67,1719638539211.23,1639593354263.44,21708650000000.00,2862006503513.51,1816016546901.33,2804313595745.94,1232604422693.58,378250733672.93,14239928240403.00,87670112661607.10
2020,69,70,180,19,21,359,3953466258964.99,2671813716093.39,1915962813945.06,5222887209516.97,1627048914857.45,1453317165489.45,21286637000000.00,2723174554778.90,1410301999335.99,2631758361545.30,1051141650314.63,329818707620.71,14583284546719.20,84994657613217.00
