year;dispute;non_violent_crises;violent_crises;limited_wars;wars;total;mil_spendings_ger;mil_spendings_fra;mil_spendings_ita;mil_spendings_jpn;mil_spendings_can;mil_spendings_rus;mil_spendings_usa;mil_spendings_gbr;mil_spendings_bra;mil_spendings_ind;mil_spendings_mex;mil_spendings_zaf;mil_spendings_chn;mil_spendings_wld
2005;63;93;90;26;2;274;30324965179;44442050523;29737642392;44300613330;12988132964;27336977274;533000000000;61653635038;13588619736;23072312925;3123454978;3566963815;42789953651;1160000000000
2006;72;114;104;30;6;326;35883657973;45792148416;29633022263;41552592886;14809892803;34517781619;558000000000;64217619528;16404867307;23951927958;3035131019;3506139658;51453373234;1210000000000
2007;79;126;107;26;6;344;40110859276;50684467384;31982431792;40530045688;17417139931;43534994996;590000000000;73448032014;20485758015;28254773450;4223037646;3525684244;62136590755;1340000000000
2008;82;130;102;30;9;353;45098956312;55365965845;36839989746;46361468280;19342058405;56183785393;657000000000;72915407670;24452903036;33002376727;4334654124;3285925081;78840802820;1510000000000
2009;107;118;110;25;8;368;44528927836;56441455398;34054481324;51465158208;18936226052;51532116798;706000000000;64010506670;25648809911;38722154392;4514233914;3592687702;96601666753;1560000000000
2010;95;108;139;22;6;370;43025915012;52044060565;32020819951;54655450735;19315688825;58720227609;738000000000;63979111970;34002944470;46090445657;4789031339;4188168092;106000000000;1650000000000
2011;106;87;155;19;20;387;45163212878;54120871010;33828804971;60762213841;21393720864;70237523951;752000000000;66569552573;36936209896;49633815794;5498458542;4594154078;125000000000;1750000000000
2012;99;85;177;25;19;405;43798225349;50216507403;29781008205;60011530195;20452107111;81469399931;725000000000;65452487554;33987005074;47216920048;5717035575;4489590096;145000000000;1760000000000
2013;107;82;178;31;20;418;44242647303;52001462448;29957445905;49023932407;18515731210;88352896464;679000000000;63837724855;32874787231;47403528801;6473144378;4118208483;164000000000;1760000000000
2014;97;88;181;25;19;410;44662831168;53134750899;27701034335;46903466613;17853640478;84696504653;648000000000;66995468654;32660239369;50914096277;6758693845;3892485091;182000000000;1750000000000
2015;90;88;183;24;19;404;38170021071;45647471641;22180845070;42106103306;17937641895;66421822180;634000000000;59990205719;24617701683;51295483754;5468837812;3488867948;197000000000;1650000000000
2016;77;72;188;21;18;376;39855047309;47370589553;25033027895;46471287714;17782775543;69245294553;640000000000;53327327634;24224746901;56637622641;5336875740;3139312128;199000000000;1650000000000
2017;68;77;190;16;20;371;42210258091;49195662250;26447892915;45387031802;22269696323;66913033537;647000000000;51633539217;29261833097;64559435281;5062076646;3591507613;210000000000;1720000000000
2018;68;83;173;25;16;365;46423020903;51409812839;28420098438;46617954864;22729327580;61609204756;682000000000;55680228215;28177406872;66257801718;5839521271;3622918743;233000000000;1800000000000
2019;71;91;158;23;15;358;49007512315;50118929212;26380673981;47609019987;22204408440;65201335848;734000000000;56856133066;25906871197;71468900524;6650808254;3435736037;240000000000;1860000000000
2020;69;70;180;19;21;359;52764761199;52747064858;28921342756;49148557003;22754847129;61712537169;778000000000;59238462250;19736347759;72887446604;6116376582;3150828880;252000000000;1930000000000
