year,civil_conflicts,state_intervention,conflict_between_states,total,gni_ger,gni_fra,gni_ita,gni_jpn,gni_can,gni_rus,gni_usa,gni_gbr,gni_bra,gni_ind,gni_mex,gni_zaf,gni_chn,gni_wld
1989,33,5,2,40,1414249683761.57,1029131194735.76,924083371436.64,3078857299419.27,547709459459.46,506588568405.99,5598381000000.00,951887547447.64,365711839530.33,292602874477.87,213098448710.14,104686146123.57,347942587323.89,20185658162317.90
1990,44,3,2,49,1790871642658.27,1273598361643.18,1166755021008.40,3156842377885.60,574627185464.52,515780725699.66,5902290000000.00,1116245413707.39,380339036380.18,316775332518.04,252627674820.45,121780799638.26,361822783694.07,22652987746617.90
1991,48,2,2,52,1875827877430.76,1272602023020.58,1228446297799.28,3609951843523.74,592228332024.09,516545185185.19,6096750000000.00,1169938033509.70,334931411093.57,265995400854.86,304534734461.97,131996161228.41,384152337595.82,23642167843346.40
1992,44,4,1,49,2137944338134.00,1406931846344.49,1298792413197.17,3942653569288.27,573080168776.37,455789723970.94,6435469000000.00,1221728957528.96,321997047142.55,283799332762.87,353562749232.61,144011220196.35,427130409858.71,25293763567242.50
1993,37,6,0,43,2074905674908.32,1329198517489.00,1049906464870.19,4493789445474.64,559372141694.44,430624472095.38,6733768000000.00,1098417308038.39,359329728432.15,275444510280.80,489113393888.82,144534216360.13,443808937179.76,25707054351002.80
1994,46,2,0,48,2204518754971.68,1398516068052.93,1082154302353.51,5040359933390.60,559172524897.48,393237301248.46,7170251000000.00,1199798307315.58,516607762515.29,323108717813.73,515157050754.05,151090918131.13,563288670008.24,27787769379632.60
1995,37,2,1,40,2582251944861.47,1606455513208.04,1160406751456.08,5592682724570.38,585086709414.17,392165585723.78,7574691000000.00,1304551338172.64,758586196719.15,356252331233.45,346715405645.39,168860475255.71,722773475241.60,30893174975833.90
1996,36,3,2,41,2497603327268.00,1619352481087.32,1299725812523.53,4982754040068.36,609656032269.89,386290390744.50,8045907000000.00,1373976731669.27,839052100880.45,389212066967.51,396991780930.07,160124651268.81,851309717507.40,31594038346430.70
1997,35,4,1,40,2207765621475.30,1470552933243.43,1236195088676.67,4551410891232.32,634690885454.28,396237354191.88,8589268000000.00,1536474662737.39,868630774073.34,412314039081.44,487611244932.75,165755309678.82,950600282950.13,31528232595267.60
1998,32,6,2,40,2226180949205.29,1522697353791.42,1263071038251.37,4148975633530.50,612674755645.43,259165786862.44,9135464000000.00,1660687540576.35,845870879353.71,417792938008.47,513008373905.43,149819182352.62,1012399391552.22,31513958831176.10
1999,32,6,2,40,2179762227596.14,1522931663205.02,1250007310699.89,4692903320960.64,655584572928.59,188191228350.93,9690388000000.00,1680143989645.69,581160970773.27,455259488556.38,587223199029.33,148308278091.50,1079526985274.75,32706486713553.00
2000,32,4,2,38,1937024251730.20,1387213402712.16,1142299340172.39,5040235511364.95,725237357753.69,252973642196.94,10383667000000.00,1668249356937.51,637966883070.82,463418960201.82,692709476500.70,148579791002.62,1196681328408.87,33873081236056.50
2001,32,5,2,39,1932123667212.60,1402495832979.14,1164448341671.22,4442724323185.68,718179235537.19,302363970620.50,10746067000000.00,1655531884266.59,540676536429.47,481233322101.92,742673818438.71,131692209833.67,1320222692114.39,33672273816046.50
2002,29,3,1,33,2056434683769.81,1517047281243.53,1271074053343.30,4243893355026.00,741406996750.14,338887494417.86,11052223000000.00,1807143285371.70,492077234979.72,511490036313.61,758782874482.19,126298943628.03,1455604866956.63,34899898360960.80
2003,27,3,2,32,2476230001432.94,1869026496404.31,1570015784573.64,4592583679436.92,873515809007.21,417177070731.79,11534846000000.00,2083183673469.39,540098689577.65,603192892963.39,716377770785.06,192410805557.39,1650069477165.64,39076108604989.20
