year;civil_conflicts;state_intervention;conflict_between_states;total;mil_spendings_ger;mil_spendings_fra;mil_spendings_ita;mil_spendings_jpn;mil_spendings_can;mil_spendings_rus;mil_spendings_usa;mil_spendings_gbr;mil_spendings_bra;mil_spendings_ind;mil_spendings_mex;mil_spendings_zaf;mil_spendings_chn;mil_spendings_wld
1989;33;5;2;40;31631605145;29665454335;17675486539;27966353542;10747134689;;322000000000;37456646813;8761486966;10589796925;1153375828;4181886467;11251332630;659000000000
1990;44;3;2;49;39834666880;35774430325;20734625579;28800451682;11414631847;;325000000000;43545094840;9236296955;10537035450;1210872502;4364458204;9926349251;713000000000
1991;48;2;2;52;37196729730;35869120915;21585706772;32785415754;11338503299;;299000000000;47045457327;6694665295;8622473881;1459136041;3874415135;9802375366;698000000000
1992;44;4;1;49;39502452271;37902269821;22177090390;35999123576;10788803124;;325000000000;45592591818;4993804467;8083231410;1824550066;3677406461;12244267842;730000000000
1993;37;6;0;43;35030537589;35775273293;18242013901;41353936222;10268822622;7766720078;317000000000;38113206791;7099899155;8253542581;2122980338;3254313379;12360225861;699000000000
1994;46;2;0;48;34197705640;37288606060;18062459082;45285594083;9577377640;13547871733;308000000000;38569013505;10591499118;8880551226;2635284079;3478582291;9867120066;708000000000
1995;37;2;1;40;38742699103;40124024138;17185853004;49961673237;9176903908;12741629470;296000000000;38294283080;14318919608;9754464630;1562615372;3292446562;12385129475;727000000000
1996;36;3;2;41;36701189772;38977734096;20793128832;44047104680;8615884471;15826340652;288000000000;38566134645;14073226545;9904672736;1882873103;2591787131;14275400820;725000000000
1997;35;4;1;40;31267710403;34697904099;20156102258;40634840608;7945140183;17577353181;293000000000;39889947449;13934266552;11464883390;2184061042;2414137710;15699586769;725000000000
1998;32;6;2;40;31200768078;33633561283;20825125352;37849012643;7748607984;7955730401;291000000000;41222125833;14357357047;11920610818;2263223453;1905656009;17031780200;707000000000
1999;32;6;2;40;30690158426;32672714285;21016456910;43122898505;8210778540;6469035211;298000000000;40760400667;9866973919;13895562461;2652912012;1738036625;20473915095;720000000000
2000;32;4;2;38;26497593164;28403138949;19878720932;45509673827;8299385231;9228204144;320000000000;39343711273;11344032535;14287514241;3031454509;1891725013;22237140151;742000000000
2001;32;5;2;39;25815401959;27951566384;19519381482;40757967234;8375571425;11683151345;332000000000;39512579944;10930231568;14600642346;3229469276;1802262236;26561462998;755000000000
2002;29;3;1;33;27611355672;30578398933;21610059762;39333708170;8495399281;13943825063;378000000000;44245265998;9664561903;14749667252;3172268734;1766082898;30284127410;816000000000
2003;27;3;2;32;32997363017;38569115813;26824213292;42486177361;9958245602;16973739085;441000000000;52343122277;8392905884;16333986643;2960496802;2574176278;33144000481;953000000000
2004;29;4;0;33;35776573894;44524579613;30261076655;45339809415;11336489831;20955413571;493000000000;60250782545;9780111585;20238566527;2854385965;3099065125;37904571827;1080000000000
2005;27;5;0;32;30324965179;44442050523;29737642392;44300613330;12988132964;27336977274;533000000000;61653635038;13588619736;23072312925;3123454978;3566963815;42789953651;1160000000000
2006;28;5;0;33;35883657973;45792148416;29633022263;41552592886;14809892803;34517781619;558000000000;64217619528;16404867307;23951927958;3035131019;3506139658;51453373234;1210000000000
2007;31;4;0;35;40110859276;50684467384;31982431792;40530045688;17417139931;43534994996;590000000000;73448032014;20485758015;28254773450;4223037646;3525684244;62136590755;1340000000000
2008;30;7;1;38;45098956312;55365965845;36839989746;46361468280;19342058405;56183785393;657000000000;72915407670;24452903036;33002376727;4334654124;3285925081;78840802820;1510000000000
2009;30;7;0;37;44528927836;56441455398;34054481324;51465158208;18936226052;51532116798;706000000000;64010506670;25648809911;38722154392;4514233914;3592687702;96601666753;1560000000000
2010;23;8;0;31;43025915012;52044060565;32020819951;54655450735;19315688825;58720227609;738000000000;63979111970;34002944470;46090445657;4789031339;4188168092;106000000000;1650000000000
2011;30;7;1;38;45163212878;54120871010;33828804971;60762213841;21393720864;70237523951;752000000000;66569552573;36936209896;49633815794;5498458542;4594154078;125000000000;1750000000000
2012;23;9;1;33;43798225349;50216507403;29781008205;60011530195;20452107111;81469399931;725000000000;65452487554;33987005074;47216920048;5717035575;4489590096;145000000000;1760000000000
2013;27;9;0;36;44242647303;52001462448;29957445905;49023932407;18515731210;88352896464;679000000000;63837724855;32874787231;47403528801;6473144378;4118208483;164000000000;1760000000000
2014;28;13;1;42;44662831168;53134750899;27701034335;46903466613;17853640478;84696504653;648000000000;66995468654;32660239369;50914096277;6758693845;3892485091;182000000000;1750000000000
2015;31;20;1;52;38170021071;45647471641;22180845070;42106103306;17937641895;66421822180;634000000000;59990205719;24617701683;51295483754;5468837812;3488867948;197000000000;1650000000000
2016;34;18;2;54;39855047309;47370589553;25033027895;46471287714;17782775543;69245294553;640000000000;53327327634;24224746901;56637622641;5336875740;3139312128;199000000000;1650000000000
2017;29;21;1;51;42210258091;49195662250;26447892915;45387031802;22269696323;66913033537;647000000000;51633539217;29261833097;64559435281;5062076646;3591507613;210000000000;1720000000000
2018;31;19;2;52;46423020903;51409812839;28420098438;46617954864;22729327580;61609204756;682000000000;55680228215;28177406872;66257801718;5839521271;3622918743;233000000000;1800000000000
2019;28;25;2;55;49007512315;50118929212;26380673981;47609019987;22204408440;65201335848;734000000000;56856133066;25906871197;71468900524;6650808254;3435736037;240000000000;1860000000000
2020;28;25;3;56;52764761199;52747064858;28921342756;49148557003;22754847129;61712537169;778000000000;59238462250;19736347759;72887446604;6116376582;3150828880;252000000000;1930000000000
