year,Gesamtbevölkerung,Arbeitnehmer Industrie in %,Arbeitnehmer Landwirtschaft in %,Arbeitnehmer Dienstleistungen in %,Wachstum Export von Waren und Dienstleistungen in %,Inflation Konsumentenpreise in %,Kraftstoffexporte Marktanteil in %,Import von Waren und Dienstleistungen in % vom BIP,Lebenserwartung Frauen in Jahren,Lebenserwartung Männer,Bevölkerung über 65 Jähriger in %,Bevölkerung von 15 - 64 jährigen in %,Bevölkerung von 0 - 14 jährigen in %,Bevölkerungswachstum in %,urbane Bevölkerung in %,ländliche Bevölkerung in %
1990,5288103214,,,,5.603938896,8.514547708,10.67018028,19.52150101,67.7291649,63.31207787,6.158751711,60.93589882,32.90534947,1.738151777,43.04532093,56.95467907
1991,5375488619,23.07728838,43.24660001,33.67608488,2.847870598,9.318511611,10.98348827,19.41413735,67.92778502,63.49315426,6.232571695,60.97762232,32.78980598,1.652490533,43.41018998,56.58981002
1992,5459753865,22.94021686,42.96902369,34.09074234,2.880819598,7.825450903,9.05303448,20.47536665,68.09473451,63.65648985,6.31273253,61.08701351,32.60025396,1.567583004,43.75322908,56.24677092
1993,5544873088,23.01374272,42.2713809,34.71488824,4.464683807,8.016635574,8.80062463,20.22970037,68.25641616,63.75539055,6.390858052,61.24594378,32.36319817,1.559030409,44.1163402,55.8836598
1994,5628791176,22.96394742,41.90539575,35.13067827,8.766846002,10.29898688,8.075587052,20.52368706,68.50431171,63.93316655,6.462197779,61.42927981,32.10852241,1.513435685,44.47656681,55.52343319
1995,5713794372,22.84884845,41.27319045,35.87794335,8.998558996,9.270833333,7.856440524,21.60463506,68.69041536,64.14132792,6.524248172,61.6313844,31.84436743,1.510150108,44.85269624,55.14730376
1996,5796632117,22.7501622,40.81832332,36.43154596,6.376872698,6.950085971,10.00297523,21.70337094,68.95536575,64.45092388,6.613056333,61.88583818,31.50110549,1.449785197,45.21391779,54.78608221
1997,5879433900,22.5916951,40.27373038,37.13472634,9.041276974,5.608028434,8.9445493,22.53617482,69.22690011,64.77149524,6.686420026,62.12040821,31.19317176,1.428446404,45.57860867,54.42139133
1998,5961166037,22.01033447,40.1720706,37.81749403,4.438968276,5.190293068,9.560054146,22.77306633,69.46520345,65.05017122,6.751389963,62.36379324,30.88481679,1.390136166,45.94787757,54.05212243
1999,6041818586,21.89296817,39.72832893,38.37865129,4.441540836,3.26043041,11.04394524,22.91677641,69.67145133,65.30750061,6.817579823,62.65327127,30.52914891,1.352965989,46.32066566,53.67933434
