Woche;ukr_2014_germany
2014-01-05;5
2014-01-12;5
2014-01-19;15
2014-01-26;14
2014-02-02;9
2014-02-09;6
2014-02-16;34
2014-02-23;46
2014-03-02;100
2014-03-09;37
2014-03-16;37
2014-03-23;26
2014-03-30;17
2014-04-06;21
2014-04-13;37
2014-04-20;33
2014-04-27;34
2014-05-04;35
2014-05-11;30
2014-05-18;23
2014-05-25;26
2014-06-01;20
2014-06-08;16
2014-06-15;19
2014-06-22;13
2014-06-29;14
2014-07-06;14
2014-07-13;33
2014-07-20;33
2014-07-27;22
2014-08-03;24
2014-08-10;28
2014-08-17;23
2014-08-24;34
2014-08-31;38
2014-09-07;25
2014-09-14;21
2014-09-21;17
2014-09-28;16
2014-10-05;14
2014-10-12;12
2014-10-19;12
2014-10-26;13
2014-11-02;15
2014-11-09;15
2014-11-16;15
2014-11-23;14
2014-11-30;30
2014-12-07;13
2014-12-14;14
2014-12-21;12
2014-12-28;12
