Woche,ukraine: (Weltweit),afghanistan: (Weltweit)
2021-06-13,3,1
2021-06-20,2,0
2021-06-27,7,1
2021-07-04,2,1
2021-07-11,1,1
2021-07-18,1,1
2021-07-25,1,1
2021-08-01,1,1
2021-08-08,1,3
2021-08-15,1,28
2021-08-22,1,10
2021-08-29,1,6
2021-09-05,1,3
2021-09-12,1,2
2021-09-19,1,1
2021-09-26,1,1
2021-10-03,1,1
2021-10-10,1,1
2021-10-17,1,2
2021-10-24,1,5
2021-10-31,1,9
2021-11-07,1,4
2021-11-14,1,1
2021-11-21,1,1
2021-11-28,1,1
2021-12-05,1,1
2021-12-12,1,1
2021-12-19,1,1
2021-12-26,1,0
2022-01-02,1,0
2022-01-09,1,1
2022-01-16,3,1
2022-01-23,6,1
2022-01-30,4,1
2022-02-06,6,1
2022-02-13,15,1
2022-02-20,100,3
2022-02-27,99,4
2022-03-06,47,1
2022-03-13,33,1
2022-03-20,24,1
2022-03-27,17,0
2022-04-03,16,0
2022-04-10,14,0
2022-04-17,14,0
2022-04-24,12,0
2022-05-01,11,0
2022-05-08,11,0
2022-05-15,10,0
2022-05-22,8,0
2022-05-29,9,1
2022-06-05,9,1
