"country","year","spendings"
Albanien,1990,
Albanien,1995,
Albanien,2000,
Albanien,2005,
Albanien,2007,
Albanien,2008,
Albanien,2009,183
Albanien,2010,186
Albanien,2011,197
Albanien,2012,183
Albanien,2013,180
Albanien,2014,178
Albanien,2015,132
Albanien,2016,131
Albanien,2017,144
Albanien,2018,176
Albanien,2019,200
Albanien,2020,197
Albanien,2021,241
Belgien,1990,4644
Belgien,1995,4449
Belgien,2000,3191
Belgien,2005,4229
Belgien,2007,5164
Belgien,2008,6296
Belgien,2009,5623
Belgien,2010,5245
Belgien,2011,5500
Belgien,2012,5169
Belgien,2013,5264
Belgien,2014,5192
Belgien,2015,4202
Belgien,2016,4256
Belgien,2017,4431
Belgien,2018,4840
Belgien,2019,4761
Belgien,2020,5324
Belgien,2021,6400
Bulgarien,1990,
Bulgarien,1995,
Bulgarien,2000,
Bulgarien,2005,667
Bulgarien,2007,990
Bulgarien,2008,1162
Bulgarien,2009,905
Bulgarien,2010,832
Bulgarien,2011,758
Bulgarien,2012,722
Bulgarien,2013,811
Bulgarien,2014,747
Bulgarien,2015,633
Bulgarien,2016,671
Bulgarien,2017,723
Bulgarien,2018,961
Bulgarien,2019,2159
Bulgarien,2020,1121
Bulgarien,2021,1282
Deutschland,1990,42319
Deutschland,1995,41160
Deutschland,2000,28150
Deutschland,2005,38054
Deutschland,2007,42552
Deutschland,2008,48082
Deutschland,2009,47469
Deutschland,2010,46255
Deutschland,2011,48140
Deutschland,2012,46470
Deutschland,2013,45931
Deutschland,2014,46102
Deutschland,2015,39813
Deutschland,2016,41590
Deutschland,2017,45374
Deutschland,2018,49725
Deutschland,2019,52543
Deutschland,2020,58652
Deutschland,2021,63339
Dänemark,1990,2650
Dänemark,1995,3118
Dänemark,2000,2393
Dänemark,2005,3468
Dänemark,2007,4175
Dänemark,2008,4788
Dänemark,2009,4337
Dänemark,2010,4504
Dänemark,2011,4518
Dänemark,2012,4423
Dänemark,2013,4216
Dänemark,2014,4056
Dänemark,2015,3364
Dänemark,2016,3593
Dänemark,2017,3780
Dänemark,2018,4559
Dänemark,2019,4557
Dänemark,2020,4886
Dänemark,2021,5551
Estland,1990,
Estland,1995,
Estland,2000,
Estland,2005,204
Estland,2007,371
Estland,2008,430
Estland,2009,353
Estland,2010,332
Estland,2011,389
Estland,2012,437
Estland,2013,480
Estland,2014,513
Estland,2015,463
Estland,2016,497
Estland,2017,540
Estland,2018,607
Estland,2019,637
Estland,2020,719
Estland,2021,771
Frankreich,1990,42589
Frankreich,1995,47768
Frankreich,2000,33815
Frankreich,2005,52909
Frankreich,2007,61796
Frankreich,2008,66454
Frankreich,2009,54442
Frankreich,2010,51971
Frankreich,2011,53441
Frankreich,2012,50245
Frankreich,2013,52317
Frankreich,2014,52006
Frankreich,2015,43474
Frankreich,2016,44191
Frankreich,2017,46036
Frankreich,2018,50459
Frankreich,2019,49705
Frankreich,2020,52520
Frankreich,2021,57098
Griechenland,1990,3863
Griechenland,1995,5056
Griechenland,2000,5522
Griechenland,2005,6752
Griechenland,2007,8208
Griechenland,2008,10102
Griechenland,2009,10156
Griechenland,2010,7902
Griechenland,2011,6858
Griechenland,2012,5633
Griechenland,2013,5310
Griechenland,2014,5226
Griechenland,2015,4517
Griechenland,2016,4635
Griechenland,2017,4742
Griechenland,2018,5383
Griechenland,2019,4843
Griechenland,2020,5492
Griechenland,2021,7758
Italien,1990,23376
Italien,1995,19375
Italien,2000,22411
Italien,2005,33527
Italien,2007,28648
Italien,2008,33150
Italien,2009,30486
Italien,2010,28656
Italien,2011,30223
Italien,2012,26468
Italien,2013,26658
Italien,2014,24448
Italien,2015,19566
Italien,2016,22373
Italien,2017,23852
Italien,2018,25004
Italien,2019,23556
Italien,2020,30084
Italien,2021,32719
Kanada,1990,11547
Kanada,1995,9077
Kanada,2000,8292
Kanada,2005,13204
Kanada,2007,17926
Kanada,2008,19775
Kanada,2009,19095
Kanada,2010,18690
Kanada,2011,22040
Kanada,2012,19994
Kanada,2013,18221
Kanada,2014,18150
Kanada,2015,18685
Kanada,2016,17711
Kanada,2017,23704
Kanada,2018,22400
Kanada,2019,22319
Kanada,2020,23595
Kanada,2021,26919
Kroatien,1990,
Kroatien,1995,
Kroatien,2000,
Kroatien,2005,
Kroatien,2007,
Kroatien,2008,
Kroatien,2009,1014
Kroatien,2010,920
Kroatien,2011,996
Kroatien,2012,865
Kroatien,2013,850
Kroatien,2014,805
Kroatien,2015,669
Kroatien,2016,623
Kroatien,2017,924
Kroatien,2018,966
Kroatien,2019,1002
Kroatien,2020,981
Kroatien,2021,1445
Lettland,1990,
Lettland,1995,
Lettland,2000,
Lettland,2005,204
Lettland,2007,444
Lettland,2008,539
Lettland,2009,316
Lettland,2010,251
Lettland,2011,286
Lettland,2012,248
Lettland,2013,281
Lettland,2014,293
Lettland,2015,281
Lettland,2016,403
Lettland,2017,484
Lettland,2018,724
Lettland,2019,692
Lettland,2020,743
Lettland,2021,835
Litauen,1990,
Litauen,1995,
Litauen,2000,
Litauen,2005,305
Litauen,2007,453
Litauen,2008,531
Litauen,2009,402
Litauen,2010,326
Litauen,2011,344
Litauen,2012,324
Litauen,2013,355
Litauen,2014,427
Litauen,2015,471
Litauen,2016,636
Litauen,2017,816
Litauen,2018,1056
Litauen,2019,1093
Litauen,2020,1176
Litauen,2021,1318
Luxemburg,1990,97
Luxemburg,1995,142
Luxemburg,2000,128
Luxemburg,2005,244
Luxemburg,2007,286
Luxemburg,2008,214
Luxemburg,2009,202
Luxemburg,2010,248
Luxemburg,2011,232
Luxemburg,2012,214
Luxemburg,2013,234
Luxemburg,2014,253
Luxemburg,2015,249
Luxemburg,2016,236
Luxemburg,2017,325
Luxemburg,2018,355
Luxemburg,2019,386
Luxemburg,2020,426
Luxemburg,2021,462
Montenegro,1990,
Montenegro,1995,
Montenegro,2000,
Montenegro,2005,
Montenegro,2007,
Montenegro,2008,
Montenegro,2009,
Montenegro,2010,
Montenegro,2011,
Montenegro,2012,
Montenegro,2013,65
Montenegro,2014,69
Montenegro,2015,57
Montenegro,2016,62
Montenegro,2017,65
Montenegro,2018,75
Montenegro,2019,74
Montenegro,2020,83
Montenegro,2021,92
Niederlande,1990,7421
Niederlande,1995,8012
Niederlande,2000,5972
Niederlande,2005,9567
Niederlande,2007,11480
Niederlande,2008,12434
Niederlande,2009,12131
Niederlande,2010,11220
Niederlande,2011,11339
Niederlande,2012,10365
Niederlande,2013,10226
Niederlande,2014,10332
Niederlande,2015,8668
Niederlande,2016,9108
Niederlande,2017,9622
Niederlande,2018,11162
Niederlande,2019,12090
Niederlande,2020,12824
Niederlande,2021,14690
Nordmazedonien,1990,
