Entity,Code,Year,Number of conflicts and incidences of one-sided violence
Civil conflicts,,1989,33
Civil conflicts,,1990,44
Civil conflicts,,1991,48
Civil conflicts,,1992,44
Civil conflicts,,1993,37
Civil conflicts,,1994,46
Civil conflicts,,1995,37
Civil conflicts,,1996,36
Civil conflicts,,1997,35
Civil conflicts,,1998,32
Civil conflicts,,1999,32
Civil conflicts,,2000,32
Civil conflicts,,2001,32
Civil conflicts,,2002,29
Civil conflicts,,2003,27
Civil conflicts,,2004,29
Civil conflicts,,2005,27
Civil conflicts,,2006,28
Civil conflicts,,2007,31
Civil conflicts,,2008,30
Civil conflicts,,2009,30
Civil conflicts,,2010,23
Civil conflicts,,2011,30
Civil conflicts,,2012,23
Civil conflicts,,2013,27
Civil conflicts,,2014,28
Civil conflicts,,2015,31
Civil conflicts,,2016,31
Civil conflicts with foreign state intervention,,1989,5
Civil conflicts with foreign state intervention,,1990,3
Civil conflicts with foreign state intervention,,1991,2
Civil conflicts with foreign state intervention,,1992,4
Civil conflicts with foreign state intervention,,1993,6
Civil conflicts with foreign state intervention,,1994,2
Civil conflicts with foreign state intervention,,1995,2
Civil conflicts with foreign state intervention,,1996,3
Civil conflicts with foreign state intervention,,1997,4
Civil conflicts with foreign state intervention,,1998,6
Civil conflicts with foreign state intervention,,1999,6
Civil conflicts with foreign state intervention,,2000,4
Civil conflicts with foreign state intervention,,2001,5
Civil conflicts with foreign state intervention,,2002,3
Civil conflicts with foreign state intervention,,2003,3
Civil conflicts with foreign state intervention,,2004,4
Civil conflicts with foreign state intervention,,2005,5
Civil conflicts with foreign state intervention,,2006,5
Civil conflicts with foreign state intervention,,2007,4
Civil conflicts with foreign state intervention,,2008,7
Civil conflicts with foreign state intervention,,2009,7
Civil conflicts with foreign state intervention,,2010,8
Civil conflicts with foreign state intervention,,2011,7
Civil conflicts with foreign state intervention,,2012,9
Civil conflicts with foreign state intervention,,2013,9
Civil conflicts with foreign state intervention,,2014,13
Civil conflicts with foreign state intervention,,2015,20
Civil conflicts with foreign state intervention,,2016,18
Colonial or imperial conflicts,,1989,0
Colonial or imperial conflicts,,1990,0
Colonial or imperial conflicts,,1991,0
Colonial or imperial conflicts,,1992,0
Colonial or imperial conflicts,,1993,0
Colonial or imperial conflicts,,1994,0
Colonial or imperial conflicts,,1995,0
Colonial or imperial conflicts,,1996,0
Colonial or imperial conflicts,,1997,0
Colonial or imperial conflicts,,1998,0
Colonial or imperial conflicts,,1999,0
Colonial or imperial conflicts,,2000,0
Colonial or imperial conflicts,,2001,0
Colonial or imperial conflicts,,2002,0
Colonial or imperial conflicts,,2003,0
Colonial or imperial conflicts,,2004,0
Colonial or imperial conflicts,,2005,0
Colonial or imperial conflicts,,2006,0
Colonial or imperial conflicts,,2007,0
Colonial or imperial conflicts,,2008,0
Colonial or imperial conflicts,,2009,0
Colonial or imperial conflicts,,2010,0
Colonial or imperial conflicts,,2011,0
Colonial or imperial conflicts,,2012,0
Colonial or imperial conflicts,,2013,0
Colonial or imperial conflicts,,2014,0
Colonial or imperial conflicts,,2015,0
Colonial or imperial conflicts,,2016,0
Conflicts between states,,1989,2
Conflicts between states,,1990,2
Conflicts between states,,1991,2
Conflicts between states,,1992,1
Conflicts between states,,1993,0
Conflicts between states,,1994,0
Conflicts between states,,1995,1
Conflicts between states,,1996,2
Conflicts between states,,1997,1
Conflicts between states,,1998,2
Conflicts between states,,1999,2
Conflicts between states,,2000,2
Conflicts between states,,2001,2
Conflicts between states,,2002,1
Conflicts between states,,2003,2
Conflicts between states,,2004,0
Conflicts between states,,2005,0
Conflicts between states,,2006,0
Conflicts between states,,2007,0
Conflicts between states,,2008,1
Conflicts between states,,2009,0
Conflicts between states,,2010,0
Conflicts between states,,2011,1
Conflicts between states,,2012,1
Conflicts between states,,2013,0
Conflicts between states,,2014,1
Conflicts between states,,2015,1
Conflicts between states,,2016,2
Non-state conflicts,,1989,19
Non-state conflicts,,1990,19
Non-state conflicts,,1991,22
Non-state conflicts,,1992,32
Non-state conflicts,,1993,33
Non-state conflicts,,1994,26
Non-state conflicts,,1995,26
Non-state conflicts,,1996,22
Non-state conflicts,,1997,28
Non-state conflicts,,1998,37
Non-state conflicts,,1999,35
Non-state conflicts,,2000,46
Non-state conflicts,,2001,36
Non-state conflicts,,2002,39
Non-state conflicts,,2003,42
Non-state conflicts,,2004,32
Non-state conflicts,,2005,30
Non-state conflicts,,2006,29
Non-state conflicts,,2007,23
Non-state conflicts,,2008,36
Non-state conflicts,,2009,30
Non-state conflicts,,2010,28
Non-state conflicts,,2011,41
Non-state conflicts,,2012,45
Non-state conflicts,,2013,50
Non-state conflicts,,2014,61
Non-state conflicts,,2015,73
Non-state conflicts,,2016,61
One-sided violence,,1989,27
One-sided violence,,1990,37
